artist,year,month_day,auction house,seller,seller/artwork,purchaser,pounds,shillings,pence,
"HACKER, Arthur",1913,5/23/2016,Christie's,,G. McCulloch. 62. Vae Victis. 64^x107,Cobbett,365,0,0,
"HAGEN, George Van der. Fl",1879,6/28/2016,Christie's,,ThomasKibble. 79. Forest Scene. Painted with Wouvermans ,M.Colnaghi,210,0,0,
"HAGHE, Louis",1854,—,"Town Hall, L'pl.",,Charles Langton. 91. Chapel at Dixmeur Cathedral. Drawing ,—,—,,,
"HAGHE, Louis",1858,5/24/2016,Foster's,,"JohnPalmer. 71. Interior, Brewers'Corporation, Antwerp. Dg. 20 x 14 ",—,49,7,0,
"HAGHE, Louis",1861,12/4/2016,Christie's,,"- 136. Town Hall, Louvain. 27x37",—,267,5,0,
"HAGHE, Louis",1863,4/17/2016,Christie's,,Lewin B. Mozley. 164. Council Chamber at Oudenarde,Isaac,159,12,0,
"HAGHE, Louis",1863,4/25/2016,Christie's,,"E. Bicknell. 86. Choir of Santa Maria, Florence. 42J x 6o£",Holloway,304,10,0,
"HAGHE, Louis",1863,4/25/2016,Christie's,,E. Bicknell. 99. An Artist in his Studio. 1856. 37^x30,Vokins,183,15,0,
"HAGHE, Louis",1863,5/27/2016,Christie's,,"Mozley. 53. Shrine of St. Siebald, Nuremberg. Dg. 19! x", —,100,16,0,
"HAGHE, Louis",1867,4/11/2016,Christie's,,"Samuel Reynolds Solly. 319. Brewers' Hall, Antwerp",—,—,,,
"HAGHE, Louis",1868,2/22/2016,Christie's,,W. Minshull Bigg. 111. Antechamber of Inquisition,—,595,7,0,
"HAGHE, Louis",1872,4/13/2016,Christie's,,Sir F. G. Moon. 163. Cromwell and Ireton,Vokins,194,5,0,
"HAGHE, Louis",1873,5/17/2016,Christie's,,John James. 37. Drinking Song. 1838. 18x24^,Permain,288,15,0,
"HAGHE, Louis",1874,5/10/2016,Christie's,,John Farnworth. 24. Happy Trio,Agnew,210,0,0,
"HAGHE, Louis",1875,4/9/2016,Christie's,,"William Quilter. 265. Brewers' Hall, Antwerp",McLean,178,10,0,
"HAGHE, Louis",1875,5/7/2016,Christie's,,William Leaf 444. Cromwell looking at Portrait,Marsden,262,10,0,
"HAGHE, Louis",1875,5/7/2016,Christie's,,William Leaf. 447. Oath of Vargas,Vokins,357,0,0,
"HAGHE, Louis",1876,3/11/2016,Christie's,,"Sigismund Rucker. 53. Watering Place, Cairo",Vokins,430,10,0,
"HAGHE, Louis",1876,3/11/2016,Christie's,,Sigismund Rucker. 54. The Guard-room,White,178,10,0,
"HAGHE, Louis",1876,3/27/2016,Christie's,,Albert Levy. 44. Rood Screen at Lierre. 17! x 13!,Vokins,128,2,0,
"HAGHE, Louis",1876,4/29/2016,Christie's,,"Charles Suthers. 25. Interior of St. Mark's, Venice. 40 x 33",Agnew,220,10,0,
"HAGHE, Louis",1877,2/24/2016,Christie's,,Poole. 62. Hotel de Ville,Vokins,157,10,0,
